Country,Year,Developed,Medals,,,,,,,,,
Finland,1952,F,40,,,,,,,,,
Finland,1956,F,26,,,,,,,,,
Finland,1960,T,6,,,,,,,,,
Finland,1964,T,5,,,,,,,,,
Finland,1968,T,4,,,,,,,,,
Finland,1972,T,10,,,,,,,,,
Finland,1976,T,6,,,,,,,,,
Finland,1980,T,9,,,,,,,,,
Finland,1984,T,12,,,,,,,,,
Finland,1988,T,4,,,,,,,,,
Finland,1992,T,7,,,,,,,,,
Finland,1996,T,4,,,,,,,,,
Finland,2000,T,5,,,,,,,,,
Finland,2004,T,2,,,,,,,,,
Finland,2008,T,5,,,,,,,,,
Finland,2012,T,5,,,,,,,,,
France,1948,T,68,,,,,,,,,
France,1952,T,39,,,,,,,,,
France,1956,T,32,,,,,,,,,
France,1960,T,11,,,,,,,,,
France,1964,T,31,,,,,,,,,
France,1968,T,27,,,,,,,,,
France,1972,T,22,,,,,,,,,
France,1976,T,20,,,,,,,,,
France,1980,T,29,,,,,,,,,
France,1984,T,68,,,,,,,,,
France,1988,T,29,,,,,,,,,
France,1992,T,57,,,,,,,,,
France,1996,T,51,,,,,,,,,
France,2000,T,66,,,,,,,,,
France,2004,T,53,,,,,,,,,
France,2008,T,76,,,,,,,,,
France,2012,T,82,,,,,,,,,
Gabon,1948,F,0,,,,,,,,,
Gabon,1952,F,0,,,,,,,,,
Gabon,1956,F,0,,,,,,,,,
Gabon,1960,F,0,,,,,,,,,
Gabon,1964,F,0,,,,,,,,,
Gabon,1968,F,0,,,,,,,,,
Gabon,1972,F,0,,,,,,,,,
Gabon,1976,F,0,,,,,,,,,
Gabon,1980,F,0,,,,,,,,,
Gabon,1984,F,0,,,,,,,,,
Gabon,1988,F,0,,,,,,,,,
